barrio,tipo_gral,anio,mes,franja_grupo,cantidad_crimenes
AGRONOMIA,Crimenes Viales,2021,8,3,3
AGRONOMIA,Crimenes Viales,2021,8,4,1
AGRONOMIA,Crimenes Viales,2021,9,3,4
AGRONOMIA,Crimenes Viales,2021,10,3,1
AGRONOMIA,Crimenes Viales,2021,10,4,2
AGRONOMIA,Crimenes Viales,2021,11,1,1
AGRONOMIA,Crimenes Viales,2021,11,3,4
AGRONOMIA,Crimenes Viales,2021,11,4,1
AGRONOMIA,Crimenes Viales,2021,12,3,4
AGRONOMIA,Crimenes Viales,2021,12,4,2
AGRONOMIA,Crimenes Viales,2022,1,3,2
AGRONOMIA,Crimenes Viales,2022,2,3,3
AGRONOMIA,Crimenes Viales,2022,3,4,1
AGRONOMIA,Crimenes Viales,2022,4,3,3
AGRONOMIA,Crimenes Viales,2022,4,4,2
AGRONOMIA,Crimenes Viales,2022,5,1,1
AGRONOMIA,Crimenes Viales,2022,5,4,2
AGRONOMIA,Crimenes Viales,2022,6,1,2
AGRONOMIA,Crimenes Viales,2022,6,3,4
AGRONOMIA,Crimenes Viales,2022,6,4,1
AGRONOMIA,Crimenes Viales,2022,7,1,1
AGRONOMIA,Crimenes Viales,2022,7,2,3
AGRONOMIA,Crimenes Viales,2022,7,3,3
AGRONOMIA,Crimenes Viales,2022,7,4,1
AGRONOMIA,Crimenes Viales,2022,8,2,3
AGRONOMIA,Crimenes Viales,2022,8,3,4
AGRONOMIA,Crimenes Viales,2022,9,3,3
AGRONOMIA,Crimenes Viales,2022,9,4,1
AGRONOMIA,Crimenes Viales,2022,10,1,1
AGRONOMIA,Crimenes Viales,2022,10,2,4
AGRONOMIA,Crimenes Viales,2022,10,3,4
AGRONOMIA,Crimenes Viales,2022,10,4,1
AGRONOMIA,Crimenes Viales,2022,11,2,1
AGRONOMIA,Crimenes Viales,2022,11,3,2
AGRONOMIA,Crimenes Viales,2022,11,4,1
AGRONOMIA,Crimenes Viales,2022,12,3,5
AGRONOMIA,Crimenes Violentos,2018,1,1,1
AGRONOMIA,Crimenes Violentos,2018,1,2,4
AGRONOMIA,Crimenes Violentos,2018,1,3,6
AGRONOMIA,Crimenes Violentos,2018,1,4,2
AGRONOMIA,Crimenes Violentos,2018,2,1,4
AGRONOMIA,Crimenes Violentos,2018,2,2,2
AGRONOMIA,Crimenes Violentos,2018,2,3,6
AGRONOMIA,Crimenes Violentos,2018,2,4,4
AGRONOMIA,Crimenes Violentos,2018,3,2,5
AGRONOMIA,Crimenes Violentos,2018,3,3,2
AGRONOMIA,Crimenes Violentos,2018,3,4,4
AGRONOMIA,Crimenes Violentos,2018,4,1,1
AGRONOMIA,Crimenes Violentos,2018,4,3,2
AGRONOMIA,Crimenes Violentos,2018,5,1,2
AGRONOMIA,Crimenes Violentos,2018,5,2,2
AGRONOMIA,Crimenes Violentos,2018,5,3,1
AGRONOMIA,Crimenes Violentos,2018,5,4,1
AGRONOMIA,Crimenes Violentos,2018,6,1,2
AGRONOMIA,Crimenes Violentos,2018,6,2,1
AGRONOMIA,Crimenes Violentos,2018,6,3,2
AGRONOMIA,Crimenes Violentos,2018,6,4,5
AGRONOMIA,Crimenes Violentos,2018,7,1,2
AGRONOMIA,Crimenes Violentos,2018,7,2,2
AGRONOMIA,Crimenes Violentos,2018,7,4,4
